user1,p+wuyIGP1bcDEGKBklw5bg==:ZawoqHFvYw8qdWK/4MOQgxuAwg7dsc/ks6hbjQD+PWI=,user1@dom.com,disabled
rex,RrgHYc+mr46aAeDxJwUBcw==:BzfPAp0XSlTM+SZRjJ6Agpqoz6qR7Oxm+WVoUwfQqrU=,cpsc@uofc.ca,disabled
trainstation,gBhST3hmTt5RE/miFRvLjQ==:cbusVdzcahDvP5ipVLOpG2JxqW5oEKWG9vFV9BXRdXc=,tarin@station.com,disabled
L0K1,JY67qOz/7uewplw7+PMsXA==:ZDYMrF9Ogujt1All/wuL461pULpH8Wxq8VTyB0an3ZQ=,loki@gmail.com,disabled
testUserHHHHHHHHHH,NgyOH9JMpG78Xog053XnRg==:++h40fTAA/wN3APBMAC1ACLwJd2QLk75rk34x+o2kO0=,testUser6@gmail.com,disabled
airport,R7EK8R8WJJPI+63RFzos8Q==:KUxiTnQF6DqdwKKfoYwagS/FOLqnq+VFyR2fQ9nK7Lw=,plane@gmail.com,disabled
uni,5xmxFUfiGmBMz0SBqqv7eg==:KwCoVQgmMzBMFpeLLbP3tfhTfqCF1KvsYTCuIhDZmP8=,unistation@opwk.com,disabled
car,yUeByysG32pYTpAjg/niPw==:CQBUA8I4Q2EFB7UDHQ3Cd802NGF2pMdP/jQCg5PdHaU=,testUser13@gmail.com,enabled
unistation,7S7PVkADzVuUdrdecJmP9A==:sMvO3VgndAUHwFLzH2yhtH/tlcSCiBg60/Ie55bQXJA=,uni@station,enabled
testUser890000,BxVpNAUC1qbuUx43A59/Sw==:816PgmQq+2Rijk3djssRe/4zPuETQ9n6FBhhRlQzrWE=,testUser7@gmail.com,disabled
group,T9UGdmLqTubvuOy9TPfJaw==:FGyNacJ30iU9WXwvj1BzcCK/ygOa6+x2zdG9MBZA4aw=,germany@franch.com,disabled
